neighbors,.metric,.estimator,mean,n,std_err,.config
11,accuracy,binary,0.8043717948717949,10,0.017051019105570622,Preprocessor1_Model03
16,accuracy,binary,0.8003717948717949,10,0.016585166169472608,Preprocessor1_Model04
21,accuracy,binary,0.796525641025641,10,0.01876252789643507,Preprocessor1_Model05
71,accuracy,binary,0.792525641025641,10,0.01814906549717174,Preprocessor1_Model15
26,accuracy,binary,0.7922051282051282,10,0.016385551649881012,Preprocessor1_Model06
6,accuracy,binary,0.7921923076923076,10,0.016343016290133412,Preprocessor1_Model02
66,accuracy,binary,0.788525641025641,10,0.018405018440000406,Preprocessor1_Model14
76,accuracy,binary,0.788525641025641,10,0.018405018440000406,Preprocessor1_Model16
46,accuracy,binary,0.7882051282051282,10,0.014368243345344351,Preprocessor1_Model10
56,accuracy,binary,0.7882051282051282,10,0.014368243345344351,Preprocessor1_Model12
51,accuracy,binary,0.784525641025641,10,0.019496174730774248,Preprocessor1_Model11
61,accuracy,binary,0.784525641025641,10,0.019496174730774248,Preprocessor1_Model13
81,accuracy,binary,0.784525641025641,10,0.019496174730774248,Preprocessor1_Model17
86,accuracy,binary,0.784525641025641,10,0.019496174730774248,Preprocessor1_Model18
91,accuracy,binary,0.784525641025641,10,0.019496174730774248,Preprocessor1_Model19
41,accuracy,binary,0.7841923076923077,10,0.012997778065536923,Preprocessor1_Model09
31,accuracy,binary,0.780525641025641,10,0.01955366572737436,Preprocessor1_Model07
36,accuracy,binary,0.7803589743589744,10,0.018849252608782886,Preprocessor1_Model08
96,accuracy,binary,0.776525641025641,10,0.01952012556484597,Preprocessor1_Model20
1,accuracy,binary,0.7523333333333333,10,0.03187585495795992,Preprocessor1_Model01
